episode,date,ticker,researcher
31,2020-09-14,NKLA,Hindenburg Research
31,2020-09-14,NAK,J Capital Research
31,2020-09-14,NLS,Citron Research
32,2020-09-21,NNOX,Citron Research
32,2020-09-21,GLJ,Viceroy Research
32,2020-09-21,AEYE,Mariner Research
32,2020-09-21,NKLA,Hindenburg Research
32,2020-09-21,PEN,Roddy Boyd
32,2020-09-21,PDCO,Bucephalus Research
32,2020-09-21,LL,Whitney Tilson
33,2020-09-28,NNOX,Muddy Waters Research
33,2020-09-28,NNOX,Citron Research
33,2020-09-28,HTHT,Bonitas Research
33,2020-09-28,GP,Mariner Research
33,2020-09-28,CRNC,The Friendly Bear
33,2020-09-28,WRTC,White Diamond Research
34,2020-10-05,CELH,The Bear Cave
34,2020-10-05,CELH,Marc Cohodes
34,2020-10-05,ATRC,Kerrisdale Research
34,2020-10-05,HTHT,Bonitas Research
34,2020-10-05,CRNC,The Friendly Bear
34,2020-10-05,NOVA,Spruce Point Capital
35,2020-10-12,CMPS,Citron Research
35,2020-10-12,FCEL,Night Market Research
35,2020-10-12,WKHS,Fuzzy Panda Research
35,2020-10-12,CYRX,The Capitolist
35,2020-10-12,CLSK,White Diamond Research
35,2020-10-12,CELH,Grizzly Research
35,2020-10-12,ACMR,J Cap Research
36,2020-10-19,HYLN,Bonitas Research
36,2020-10-19,LOOP,Hindenburg Research
37,2020-11-02,GSX,deloittefraud.com
37,2020-11-02,GSX,Grizzly Research
37,2020-11-02,GSX,Muddy Waters
37,2020-11-02,GSX,Scorpio VC
38,2020-11-02,GSX,Citron Research
38,2020-11-02,PRPL,GeoInvesting
39,2020-11-09,NVEE,
39,2020-11-09,CELH,
39,2020-11-09,PDFS,
39,2020-11-09,ZUO,
39,2020-11-09,ONE,
39,2020-11-09,LPSN,
39,2020-11-09,PING,
39,2020-11-09,LRN,
40,2020-11-16,PHM,Anonymous report
40,2020-11-16,NIO,Citron Research
40,2020-11-16,MPLN,Muddy Waters
40,2020-11-16,PEN,Quintessential Capital Management
40,2020-11-16,AVY,Spruce Point Capital
40,2020-11-16,EXPI,White Diamond Research
41,2020-11-23,BLNK,Citron Research
41,2020-11-23,SOLO,Citron Research
41,2020-11-23,TTCF,Kerrisdale Capital
41,2020-11-23,PEN,Marc Cohodes
41,2020-11-23,PEN,Independent short-seller
41,2020-11-23,YY,Muddy Waters
43,2020-12-07,KNDI,Hindenburg Research
43,2020-12-07,KIDS,Culper Research
43,2020-12-07,INAQ,An anonymous account
44,2020-12-14,PEN,Quintessential Capital Management
44,2020-12-14,PEN,Independent short-seller Marc Cohodes
44,2020-12-14,GP,White Diamond Research
44,2020-12-14,IBIO,Mariner Research
44,2020-12-14,MPLN,“Yet Another Value Blog”
44,2020-12-14,S30,An anonymous 114-page report
44,2020-12-14,LAZR,Citron Research
45,2020-12-21,GSX,Marcus Aurelius Value Research
45,2020-12-21,PEN,Gabriel Grego
